time,local_time,wind_electricity
1/1/2019 0:00,1/1/2019 1:00,923.138
1/1/2019 1:00,1/1/2019 2:00,942.556
1/1/2019 2:00,1/1/2019 3:00,1064.198
1/1/2019 3:00,1/1/2019 4:00,1328.341
1/1/2019 4:00,1/1/2019 5:00,1625.839
1/1/2019 5:00,1/1/2019 6:00,1762.525
1/1/2019 6:00,1/1/2019 7:00,1748.273
1/1/2019 7:00,1/1/2019 8:00,1736.287
1/1/2019 8:00,1/1/2019 9:00,1758.047
1/1/2019 9:00,1/1/2019 10:00,1645.148
1/1/2019 10:00,1/1/2019 11:00,1469.139
1/1/2019 11:00,1/1/2019 12:00,1434.518
1/1/2019 12:00,1/1/2019 13:00,1444.508
1/1/2019 13:00,1/1/2019 14:00,1445.301
1/1/2019 14:00,1/1/2019 15:00,1389.942
1/1/2019 15:00,1/1/2019 16:00,1444.463
1/1/2019 16:00,1/1/2019 17:00,1696.21
1/1/2019 17:00,1/1/2019 18:00,2070.937
1/1/2019 18:00,1/1/2019 19:00,2379.691
1/1/2019 19:00,1/1/2019 20:00,2532.303
1/1/2019 20:00,1/1/2019 21:00,2679.582
1/1/2019 21:00,1/1/2019 22:00,2984.663
1/1/2019 22:00,1/1/2019 23:00,3270.793
1/1/2019 23:00,1/2/2019 0:00,3249.53
1/2/2019 0:00,1/2/2019 1:00,3089.355
1/2/2019 1:00,1/2/2019 2:00,3061.894
1/2/2019 2:00,1/2/2019 3:00,3216.948
1/2/2019 3:00,1/2/2019 4:00,3314.063
1/2/2019 4:00,1/2/2019 5:00,3183.088
1/2/2019 5:00,1/2/2019 6:00,2928.074
1/2/2019 6:00,1/2/2019 7:00,2728.953
1/2/2019 7:00,1/2/2019 8:00,2575.596
1/2/2019 8:00,1/2/2019 9:00,2422.7
1/2/2019 9:00,1/2/2019 10:00,2089.125
1/2/2019 10:00,1/2/2019 11:00,1737.469
1/2/2019 11:00,1/2/2019 12:00,1431.016
1/2/2019 12:00,1/2/2019 13:00,1272.174
1/2/2019 13:00,1/2/2019 14:00,1277.102
1/2/2019 14:00,1/2/2019 15:00,1334.522
1/2/2019 15:00,1/2/2019 16:00,1443.548
1/2/2019 16:00,1/2/2019 17:00,1568.269
1/2/2019 17:00,1/2/2019 18:00,1615.498
1/2/2019 18:00,1/2/2019 19:00,1527.489
1/2/2019 19:00,1/2/2019 20:00,1348.097
1/2/2019 20:00,1/2/2019 21:00,1126.297
1/2/2019 21:00,1/2/2019 22:00,925.393
1/2/2019 22:00,1/2/2019 23:00,776.284
1/2/2019 23:00,1/3/2019 0:00,688.754
1/3/2019 0:00,1/3/2019 1:00,664.814
1/3/2019 1:00,1/3/2019 2:00,676.439
1/3/2019 2:00,1/3/2019 3:00,688.348
1/3/2019 3:00,1/3/2019 4:00,710.194
1/3/2019 4:00,1/3/2019 5:00,734.062
1/3/2019 5:00,1/3/2019 6:00,755.936
1/3/2019 6:00,1/3/2019 7:00,756.561
1/3/2019 7:00,1/3/2019 8:00,749.439
1/3/2019 8:00,1/3/2019 9:00,749.343
1/3/2019 9:00,1/3/2019 10:00,680.747
1/3/2019 10:00,1/3/2019 11:00,557.617
1/3/2019 11:00,1/3/2019 12:00,515.528
1/3/2019 12:00,1/3/2019 13:00,624.09
1/3/2019 13:00,1/3/2019 14:00,876.812
1/3/2019 14:00,1/3/2019 15:00,1123.699
1/3/2019 15:00,1/3/2019 16:00,1350.431
1/3/2019 16:00,1/3/2019 17:00,1555.938
1/3/2019 17:00,1/3/2019 18:00,1638.603
1/3/2019 18:00,1/3/2019 19:00,1638.602
1/3/2019 19:00,1/3/2019 20:00,1562.249
1/3/2019 20:00,1/3/2019 21:00,1456.682
1/3/2019 21:00,1/3/2019 22:00,1332.251
1/3/2019 22:00,1/3/2019 23:00,1178.039
1/3/2019 23:00,1/4/2019 0:00,672.873
1/4/2019 0:00,1/4/2019 1:00,299.906
1/4/2019 1:00,1/4/2019 2:00,359.467
1/4/2019 2:00,1/4/2019 3:00,738.277
1/4/2019 3:00,1/4/2019 4:00,865.502
1/4/2019 4:00,1/4/2019 5:00,574.027
1/4/2019 5:00,1/4/2019 6:00,313.783
1/4/2019 6:00,1/4/2019 7:00,274.116
1/4/2019 7:00,1/4/2019 8:00,335.847
1/4/2019 8:00,1/4/2019 9:00,288.996
1/4/2019 9:00,1/4/2019 10:00,198.707
1/4/2019 10:00,1/4/2019 11:00,131.236
1/4/2019 11:00,1/4/2019 12:00,84.937
1/4/2019 12:00,1/4/2019 13:00,53.82
1/4/2019 13:00,1/4/2019 14:00,60.349
1/4/2019 14:00,1/4/2019 15:00,119.197
1/4/2019 15:00,1/4/2019 16:00,261.891
1/4/2019 16:00,1/4/2019 17:00,471.459
1/4/2019 17:00,1/4/2019 18:00,725.251
1/4/2019 18:00,1/4/2019 19:00,957.705
1/4/2019 19:00,1/4/2019 20:00,1133.867
1/4/2019 20:00,1/4/2019 21:00,1244.213
1/4/2019 21:00,1/4/2019 22:00,1254.862
1/4/2019 22:00,1/4/2019 23:00,1183.464
1/4/2019 23:00,1/5/2019 0:00,1098.999
1/5/2019 0:00,1/5/2019 1:00,1006.257
1/5/2019 1:00,1/5/2019 2:00,927.918
1/5/2019 2:00,1/5/2019 3:00,852.495
1/5/2019 3:00,1/5/2019 4:00,795.216
1/5/2019 4:00,1/5/2019 5:00,794.54
1/5/2019 5:00,1/5/2019 6:00,828.372
1/5/2019 6:00,1/5/2019 7:00,881.698
1/5/2019 7:00,1/5/2019 8:00,964.379
1/5/2019 8:00,1/5/2019 9:00,1029.286
1/5/2019 9:00,1/5/2019 10:00,1012.103
1/5/2019 10:00,1/5/2019 11:00,928.297
1/5/2019 11:00,1/5/2019 12:00,931.077
1/5/2019 12:00,1/5/2019 13:00,1029.435
1/5/2019 13:00,1/5/2019 14:00,1147.63
1/5/2019 14:00,1/5/2019 15:00,1191.546
1/5/2019 15:00,1/5/2019 16:00,1215.08
1/5/2019 16:00,1/5/2019 17:00,1281.673
1/5/2019 17:00,1/5/2019 18:00,1351.692
1/5/2019 18:00,1/5/2019 19:00,1395.271
1/5/2019 19:00,1/5/2019 20:00,1444.464
1/5/2019 20:00,1/5/2019 21:00,1482.137
1/5/2019 21:00,1/5/2019 22:00,1507.13
1/5/2019 22:00,1/5/2019 23:00,1535.927
1/5/2019 23:00,1/6/2019 0:00,1581.702
1/6/2019 0:00,1/6/2019 1:00,1644.181
1/6/2019 1:00,1/6/2019 2:00,1631.246
1/6/2019 2:00,1/6/2019 3:00,1551.494
1/6/2019 3:00,1/6/2019 4:00,1570.763
1/6/2019 4:00,1/6/2019 5:00,1610.842
1/6/2019 5:00,1/6/2019 6:00,1556.158
1/6/2019 6:00,1/6/2019 7:00,1423.502
1/6/2019 7:00,1/6/2019 8:00,1313.422
1/6/2019 8:00,1/6/2019 9:00,1255.069
1/6/2019 9:00,1/6/2019 10:00,1209.356
1/6/2019 10:00,1/6/2019 11:00,1051.158
1/6/2019 11:00,1/6/2019 12:00,1004.712
1/6/2019 12:00,1/6/2019 13:00,1073.863
1/6/2019 13:00,1/6/2019 14:00,1173.732
1/6/2019 14:00,1/6/2019 15:00,1256.444
1/6/2019 15:00,1/6/2019 16:00,1556.128
1/6/2019 16:00,1/6/2019 17:00,1873.532
1/6/2019 17:00,1/6/2019 18:00,2036.357
1/6/2019 18:00,1/6/2019 19:00,2067.722
1/6/2019 19:00,1/6/2019 20:00,2037.475
